Ren_scenarios,Dem_scenarios,Region,Fuel type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_2.75,Asia,Oil,87894.2283863175,81950.70510706183,76962.71647161261,71403.21198772431,65170.898080419145,58155.95024721898,50236.088871947664,48228.47773223708,45594.10930430724,41992.10122885866,36832.43271440771,28984.480694453356,29400.85298087651,29806.807230328734,30190.788350516974,30534.62283481578,30807.977309590944,29324.563260379844,27562.31210106451,25459.451557094344,22937.04552777509,19892.660735751855,17320.601803921312,14388.334902137536,11035.050009877463,7187.133880654694,2754.739099896704
50.0,All_2.75,Asia,Gas,1263005.5689595612,1401546.2590146905,1562393.9758300774,1739286.91718091,1934058.3225449957,2148837.080430143,2386099.160288098,2736700.7139725992,3187482.8323195684,3785794.889913751,4614718.867688833,5834410.107126692,6324740.084338133,6919685.738369773,7657716.636927282,8599114.915977271,9843969.056946548,10106357.764779544,10392809.655278353,10707066.297201978,11053874.226828206,11439353.851550143,11730125.23059723,12041509.281061359,12375832.682602458,12735848.978086561,13124858.140150452
50.0,All_3.0,Asia,Coal,7866392.253585203,8003407.021770015,8023169.478835825,8038793.334242592,8047484.062518735,8046458.847558218,8032800.995014531,7768307.570040865,7413945.950438715,6919970.5264334595,6200280.34007979,5089869.861596545,4803003.198255182,4415189.953858181,3886130.1619472494,3152620.789765514,2109631.8590271375,2031217.184833107,1936049.0337195536,1820308.4085094896,1679108.9929470466,1506103.0718168672,1435167.0017055264,1351927.9296036463,1254177.618997491,1139235.392307405,1003821.5908627667
50.0,All_3.0,Asia,Oil,87894.2283863175,82114.71388586203,77272.2534377808,71836.48778852564,65701.63480453401,58752.1563437085,50858.71049872864,48930.55990549391,46358.277283841184,42790.10062925554,37616.52213987301,29668.914289250057,30165.094986052496,30653.605757660374,31122.46587510751,31552.735835543284,31912.690689476116,30452.45163422845,28695.1672685538,26573.93237087061,24003.165095752818,20871.71220396179,18223.97563437001,15181.516738249207,11676.482473765365,7626.658506095128,2931.6137580193204
50.0,All_3.0,Asia,Gas,1263005.5689595612,1404351.1877834261,1568677.7806827335,1749840.9372436823,1949808.8463000616,2170866.6365163056,2415672.261502768,2776540.0138046797,3240905.7931568073,3857738.4689147593,4712957.077847419,5972182.6732538855,6489144.567684772,7116271.023320625,7894031.184181761,8885834.379913926,10196954.396396242,10495070.917082492,10819970.775852846,11175765.31584745,11567661.043919174,12002361.301006341,12341921.99615814,12705318.297606356,13095200.59150732,13514701.76484577,13967571.265518295
50.0,All_3.25,Asia,Coal,7866392.253585203,8019392.330002421,8055386.770125142,8087514.585378359,8112966.588776654,8128909.4519153945,8132340.716540217,7881406.588862802,7538251.275663565,7051552.495049441,6332375.001394301,5210173.130874937,4927981.400326875,4540763.226016114,4006194.0366681274,3257862.5708583677,2185368.224176452,2109427.837357037,2015701.965907131,1900059.314942698,1757207.7759554794,1580265.5459233925,1510029.270079146,1426435.669908397,1327029.7560696604,1208827.6321941724,1068174.460491674
50.0,All_3.25,Asia,Oil,87894.2283863175,82278.72266466221,77582.54262014868,72271.87198323403,66236.25021884892,59354.17903339094,51488.93423803712,49642.94136900106,47135.53959100579,43603.74653375267,38417.92812143422,30370.163531763617,30950.01624907564,31525.43089285416,32084.009541457934,32606.03921045755,33058.36508030081,31625.002817356664,29875.74388244363,27738.182991350375,25119.601247427876,21899.462458808477,19174.58845723537,16018.203725622358,12354.741030459672,8092.546637621342,3119.5532880009177
50.0,All_3.25,Asia,Gas,1263005.5689595612,1407156.1165521618,1574976.8560210583,1760446.3149672197,1965674.476847928,2193111.1131923925,2445606.4456505575,2816963.7416823218,3295244.17805124,3931092.6573764593,4813364.871502128,6113340.1330430135,6657997.593089201,7318666.265042937,8137921.103366915,9182464.10451452,10563027.869486716,10899176.569023095,11265126.029397639,11665395.21035167,12105696.545830535,12593373.181839474,12985710.681115828,13405536.508561421,13855869.043909319,14340271.593142927,14863002.586047892
50.0,All_3.5,Asia,Coal,7866392.253585203,8035377.638234827,8087682.163938801,8136472.346978643,8178926.506566803,8212162.488153429,8233092.841861064,7996160.68269656,7664681.421706323,7185708.105226257,6467379.822510174,5333424.852216207,5056333.029972507,4670038.621590012,4130097.2494728835,3366733.003791029,2263905.8493928695,2190727.877875078,2098701.9797884575,1983362.876326411,1838983.3779327478,1658107.7697535844,1588796.4954940495,1505019.917054388,1404054.0878247789,1282583.740835954,1136543.052268837
50.0,All_3.5,Asia,Oil,87894.2283863175,82442.7314434624,77893.58401871628,72709.3696893103,66774.76317478872,59962.060772900455,52126.834165721724,50365.747721878746,47926.088079822315,44433.306722992915,39236.98977089981,31088.59933776862,31756.12420696366,32422.95898371808,33076.30093460056,33695.65963730279,34246.41451664813,32843.87077998661,31105.92929620932,28954.297357528627,26288.598187656193,22978.207017200624,20174.78703694231,16900.66797337212,13071.843015193723,8586.309960941211,3319.2205457036257
